X,var,Estimate,Std..Error,t.value,Pr...t..,Dependent,Independent,AGM,Data,Type,BRAND,STRATEGIC.PILLAR,DEMOGRAPHIC,MARKETINGSEGMENT,CAMPAIGN,PROGRAM,PROGRAMCATEGORY,ACTIVITY,METRIC,spend_1Year,spend_3Year,fname,Dependent_Variable,Dependent_Demography,Dependent_Metric
6,DUMMY_CRH_CON_ACT_180113_041215_TRD_GYZ_REG,-12.87536088,1.8802675,-6.847621881,2.75E-10,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,DUMMY_CRH_CON_ACT_180113_041215_TRD_GYZ_REG,VICTORIA - REGIONAL & TASMANIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92388.317,118829.4703,model_summary_VICTORIA - REGIONAL & TASMANIA_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
7,DUMMY_CRH_CON_ACT_261214_261214_SEA_GYZ_REG,780.9980127,563.9767874,1.384805244,0.168502417,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,DUMMY_CRH_CON_ACT_261214_261214_SEA_GYZ_REG,VICTORIA - REGIONAL & TASMANIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65083.00129,113742.7969,model_summary_VICTORIA - REGIONAL & TASMANIA_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
8,DUMMY_CRH_CON_ACT_261214_261214_SET_GYZ_REG,2340.149689,436.6620712,5.359177826,3.72E-07,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,DUMMY_CRH_CON_ACT_261214_261214_SET_GYZ_REG,VICTORIA - REGIONAL & TASMANIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20027.47691,198977.7621,model_summary_VICTORIA - REGIONAL & TASMANIA_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
9,LOC_BTL_OWN_XXX_GYZ_MES_MUL_PPD_CRM_DML_VOL,5.491610792,1.844309828,2.977596664,0.003471025,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,LOC_BTL_OWN_XXX_GYZ_MES_MUL_PPD_CRM_DML_VOL_10_40_0,VICTORIA - REGIONAL & TASMANIA,LOC,BTL  ,XXXX,Unknown,GEN Y+GEN Z,MARKETING ENABLEMENT,MULTIPLE,POSTPAID HANDHELD,CONSUMER CRM - MOBILITY,Direct Mail,VOLUME,65285.30717,15879.07923,model_summary_VICTORIA - REGIONAL & TASMANIA_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
10,LOC_TRA_TTL_XXX_XXX_BRD_N84_OTH_NLC_TVC_GRP,7.146785118,2.488699026,2.871695228,0.004774325,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,LOC_TRA_TTL_XXX_XXX_BRD_N84_OTH_NLC_TVC_GRP_80_80_0,VICTORIA - REGIONAL & TASMANIA,LOC,Traditional Media,Total,Unknown,UNKNOWN,BRAND,NONE,OTHER,NETWORK LEADERSHIP- CONSUMER,TV-FREE TO AIR,GRP/TARP,81948.8107,35356.31641,model_summary_VICTORIA - REGIONAL & TASMANIA_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
11,LOC_TRA_TTL_XXX_XXX_BRD_P08_OTH_BDM_TVC_GRP,4.659193066,2.364723762,1.970290628,0.050946841,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,LOC_TRA_TTL_XXX_XXX_BRD_P08_OTH_BDM_TVC_GRP_80_30_0,VICTORIA - REGIONAL & TASMANIA,LOC,Traditional Media,Total,Unknown,UNKNOWN,BRAND,Q3 CUSTOMER SERVICE,OTHER,BRAND DEVELOPMENT,TV-FREE TO AIR,GRP/TARP,34248.89747,49135.31683,model_summary_VICTORIA - REGIONAL & TASMANIA_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
12,LOC_TRA_TTL_XXX_XXX_RMC_P69_PRE_CMB_TVC_GRP,10.63714787,2.825317769,3.764938582,0.000252008,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,LOC_TRA_TTL_XXX_XXX_RMC_P69_PRE_CMB_TVC_GRP_70_30_0,VICTORIA - REGIONAL & TASMANIA,LOC,Traditional Media,Total,Unknown,UNKNOWN,RETAIL MARKETING - CONSUMER,FY15 CHRISTMAS,PREPAID HANDHELD,CONSUMER - MOBILITY,TV-FREE TO AIR,GRP/TARP,99852.58663,242149.8536,model_summary_VICTORIA - REGIONAL & TASMANIA_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
13,LOC_TRA_TTL_XXX_XXX_RMC_Q01_PRE_CMB_TVC_GRP,8.305091393,1.646451647,5.044236438,1.51E-06,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,LOC_TRA_TTL_XXX_XXX_RMC_Q01_PRE_CMB_TVC_GRP_80_30_3,VICTORIA - REGIONAL & TASMANIA,LOC,Traditional Media,Total,Unknown,UNKNOWN,RETAIL MARKETING - CONSUMER,F16 Q2 PREPAID DATA ROLLOVER,PREPAID HANDHELD,CONSUMER - MOBILITY,TV-FREE TO AIR,GRP/TARP,49358.38967,163750.8843,model_summary_VICTORIA - REGIONAL & TASMANIA_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
14,LOC_TRA_XXX_XXX_XXX_RMC_N94_PRE_CMB_ODR_AUD,4.101867666,2.309035296,1.776442167,0.078017311,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,LOC_TRA_XXX_XXX_XXX_RMC_N94_PRE_CMB_ODR_AUD_40_80_3,VICTORIA - REGIONAL & TASMANIA,LOC,Traditional Media,XXX,Unknown,UNKNOWN,RETAIL MARKETING - CONSUMER,Q2 PREPAID,PREPAID HANDHELD,CONSUMER - MOBILITY,OUTDOOR,SPEND,76087.90029,94549.98552,model_summary_VICTORIA - REGIONAL & TASMANIA_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
15,NAT_BTL_OWN_XXX_GYZ_MES_L19_PPD_CRM_EML_VOL,3.738866714,2.007286401,1.862647359,0.064786544,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,NAT_BTL_OWN_XXX_GYZ_MES_L19_PPD_CRM_EML_VOL_20_60_2,VICTORIA - REGIONAL & TASMANIA,NAT,BTL  ,XXXX,Unknown,GEN Y+GEN Z,MARKETING ENABLEMENT,TC_PSTN_RIGHTPLANNING_EDM_DM_OTM,POSTPAID HANDHELD,CONSUMER CRM - MOBILITY,Email,VOLUME,61303.34578,48898.01956,model_summary_VICTORIA - REGIONAL & TASMANIA_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
16,NAT_BTL_OWN_XXX_GYZ_MES_O35_PPD_CRM_EML_VOL,3.693395954,3.050445908,1.210772479,0.22819623,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,NAT_BTL_OWN_XXX_GYZ_MES_O35_PPD_CRM_EML_VOL_40_80_2,VICTORIA - REGIONAL & TASMANIA,NAT,BTL  ,XXXX,Unknown,GEN Y+GEN Z,MARKETING ENABLEMENT,TC_PROJECT_EVE_OTM_EDM_DM,POSTPAID HANDHELD,CONSUMER CRM - MOBILITY,Email,VOLUME,77730.16002,54876.49502,model_summary_VICTORIA - REGIONAL & TASMANIA_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
17,NAT_DIG_XXX_XXX_XXX_DIG_G43_MOB_CDM_DAC_CLK,1.840978517,1.334859864,1.379154896,0.17023343,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,NAT_DIG_XXX_XXX_XXX_DIG_G43_MOB_CDM_DAC_CLK_80_80_3,VICTORIA - REGIONAL & TASMANIA,NAT,Digital Media,XXX,Unknown,UNKNOWN,DIGITAL,XXXX POST-PAID AO,MOBILITY,CONSUMER - DIGITAL MARKETING,DESKTOP AFFILIATE CLICKS,CLICKS,73328.79598,266530.0068,model_summary_VICTORIA - REGIONAL & TASMANIA_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
18,NAT_DIG_XXX_XXX_XXX_DIG_G43_MOB_CDM_DAC_CLK,0.079623921,0.031873571,2.498117349,0.013564259,NAT_DIG_XXX_XXX_XXX_DIG_M22_MOB_CDM_ADD_CLK_10_80_3,NAT_DIG_XXX_XXX_XXX_DIG_G43_MOB_CDM_DAC_CLK_80_80_3,VICTORIA - REGIONAL & TASMANIA,NAT,Digital Media,XXX,Unknown,UNKNOWN,DIGITAL,XXXX POST-PAID AO,MOBILITY,CONSUMER - DIGITAL MARKETING,DESKTOP AFFILIATE CLICKS,CLICKS,66050.04187,203691.5203,model_summary_VICTORIA - REGIONAL & TASMANIA_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
19,NAT_DIG_XXX_XXX_XXX_DIG_M22_MOB_CDM_ADD_CLK,2.176902411,1.905770072,1.142269177,0.255457868,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,NAT_DIG_XXX_XXX_XXX_DIG_M22_MOB_CDM_ADD_CLK_10_80_3,VICTORIA - REGIONAL & TASMANIA,NAT,Digital Media,XXX,Unknown,UNKNOWN,DIGITAL,FY15 Q3 PRE-PAID,MOBILITY,CONSUMER - DIGITAL MARKETING,DESKTOP DISPLAY,CLICKS,90389.88256,188815.4942,model_summary_VICTORIA - REGIONAL & TASMANIA_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
20,NAT_DIG_XXX_XXX_XXX_DIG_M27_ENG_CDM_MDS_CLK,2.763921954,1.753941134,1.575835072,0.117513092,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,NAT_DIG_XXX_XXX_XXX_DIG_M27_ENG_CDM_MDS_CLK_10_80_0,VICTORIA - REGIONAL & TASMANIA,NAT,Digital Media,XXX,Unknown,UNKNOWN,DIGITAL,FY15 AFL LIVE PASS,ENGAGEMENT,CONSUMER - DIGITAL MARKETING,MOBILE DISPLAY,CLICKS,16528.15234,210843.6855,model_summary_VICTORIA - REGIONAL & TASMANIA_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
21,NAT_DIG_XXX_XXX_XXX_DIG_M29_MOB_CDM_ADD_CLK,0.799204699,0.22758199,3.511722079,0.000589471,NAT_DIG_XXX_XXX_XXX_DIG_G43_MOB_CDM_DAC_CLK_80_80_3,NAT_DIG_XXX_XXX_XXX_DIG_M29_MOB_CDM_ADD_CLK_10_80_3,VICTORIA - REGIONAL & TASMANIA,NAT,Digital Media,XXX,Unknown,UNKNOWN,DIGITAL,FY15 Q3 POST-PAID S6,MOBILITY,CONSUMER - DIGITAL MARKETING,DESKTOP DISPLAY,CLICKS,7071.95822,139116.5625,model_summary_VICTORIA - REGIONAL & TASMANIA_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
22,NAT_DIG_XXX_XXX_XXX_DIG_M53_MOB_CDM_ADD_CLK,3.039392174,2.096838237,1.449511994,0.149621414,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,NAT_DIG_XXX_XXX_XXX_DIG_M53_MOB_CDM_ADD_CLK_10_80_0,VICTORIA - REGIONAL & TASMANIA,NAT,Digital Media,XXX,Unknown,UNKNOWN,DIGITAL,FY16 Q1 IPHONE,MOBILITY,CONSUMER - DIGITAL MARKETING,DESKTOP DISPLAY,CLICKS,67804.28863,233641.3081,model_summary_VICTORIA - REGIONAL & TASMANIA_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
23,NAT_DIG_XXX_XXX_XXX_DIG_N06_MOB_CDM_MSR_CLK,1.094678275,0.247442686,4.423966985,1.86E-05,NAT_DIG_XXX_XXX_XXX_DIG_G43_MOB_CDM_DAC_CLK_80_80_3,NAT_DIG_XXX_XXX_XXX_DIG_N06_MOB_CDM_MSR_CLK_10_80_3,VICTORIA - REGIONAL & TASMANIA,NAT,Digital Media,XXX,Unknown,UNKNOWN,DIGITAL,GG:XXXX - POSTPAID - HANDSETS - DSK,MOBILITY,CONSUMER - DIGITAL MARKETING,MOBILE SEARCH,CLICKS,40986.62937,173628.6653,model_summary_VICTORIA - REGIONAL & TASMANIA_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
24,NAT_DIG_XXX_XXX_XXX_DIG_N08_MOB_CDM_MSR_CLK,4.58491526,2.510838082,1.826049753,0.070155308,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,NAT_DIG_XXX_XXX_XXX_DIG_N08_MOB_CDM_MSR_CLK_30_80_0,VICTORIA - REGIONAL & TASMANIA,NAT,Digital Media,XXX,Unknown,UNKNOWN,DIGITAL,GG:XXXX - PREPAID - HANDSETS - DSK,MOBILITY,CONSUMER - DIGITAL MARKETING,MOBILE SEARCH,CLICKS,1204.63062,109278.0983,model_summary_VICTORIA - REGIONAL & TASMANIA_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
25,NAT_TRA_MCN_XXX_XXX_RMC_Q97_PRE_CMB_PTV_AUD,5.453963653,2.275434755,2.396888613,0.017969128,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,NAT_TRA_MCN_XXX_XXX_RMC_Q97_PRE_CMB_PTV_AUD_60_30_0,VICTORIA - REGIONAL & TASMANIA,NAT,Traditional Media,MCN,Unknown,UNKNOWN,RETAIL MARKETING - CONSUMER,Q3 PREPAID BACK TO IT,PREPAID HANDHELD,CONSUMER - MOBILITY,TV-PAY TV,SPEND,79982.33495,9249.700967,model_summary_VICTORIA - REGIONAL & TASMANIA_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
26,NAT_TRA_MCN_XXX_XXX_RMC_R00_PRE_CMB_PTV_AUD,2.087917684,2.176440692,0.959326708,0.339188777,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,NAT_TRA_MCN_XXX_XXX_RMC_R00_PRE_CMB_PTV_AUD_20_80_0,VICTORIA - REGIONAL & TASMANIA,NAT,Traditional Media,MCN,Unknown,UNKNOWN,RETAIL MARKETING - CONSUMER,Q1 PREPAID,PREPAID HANDHELD,CONSUMER - MOBILITY,TV-PAY TV,SPEND,51749.72269,223291.2456,model_summary_VICTORIA - REGIONAL & TASMANIA_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
27,NAT_TRA_MCN_XXX_XXX_RMC_R20_PRE_CMB_PTV_GRP,8.947290212,2.382767707,3.75499894,0.000261189,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,NAT_TRA_MCN_XXX_XXX_RMC_R20_PRE_CMB_PTV_GRP_70_80_3,VICTORIA - REGIONAL & TASMANIA,NAT,Traditional Media,MCN,Unknown,UNKNOWN,RETAIL MARKETING - CONSUMER,FY15 XMAS PRE PAID,PREPAID HANDHELD,CONSUMER - MOBILITY,TV-PAY TV,GRP/TARP,92613.64824,206296.956,model_summary_VICTORIA - REGIONAL & TASMANIA_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
28,NAT_TRA_XXX_XXX_XXX_RMC_MUL_PRE_CMB_ODR_AUD,4.334586323,1.640848528,2.641673652,0.009270009,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,NAT_TRA_XXX_XXX_XXX_RMC_MUL_PRE_CMB_ODR_AUD_80_30_3,VICTORIA - REGIONAL & TASMANIA,NAT,Traditional Media,XXX,Unknown,UNKNOWN,RETAIL MARKETING - CONSUMER,MULTIPLE,PREPAID HANDHELD,CONSUMER - MOBILITY,OUTDOOR,SPEND,36280.16937,157210.394,model_summary_VICTORIA - REGIONAL & TASMANIA_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
1,(Intercept),2623.791375,118.2322757,22.19183687,4.81E-46,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,(Intercept),WESTERN AUSTRALIA - METRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36986.09999,231972.7497,model_summary_WESTERN AUSTRALIA - METRO_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
2,CRL_CMP_102_XXX_XXX_RMC_NAT_PRE_CMB_MGZ_AUD,-37.26446976,12.73402658,-2.926369718,0.00404898,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,CRL_CMP_102_XXX_XXX_RMC_NAT_PRE_CMB_MGZ_AUD_10_80_3,WESTERN AUSTRALIA - METRO,Control,Competitor Media,Lebara,Unknown,XXX,RETAIL MARKETING - Consumer,NATIONAL,Prepaid Handheld,Consumer - Mobility,Magazines,Spend,46485.19731,207371.8272,model_summary_WESTERN AUSTRALIA - METRO_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
3,DUMMY_CRH_CON_ACT_230813_041225_STR_GYZ_REG,-1055.03323,72.50329476,-14.55152119,4.59E-29,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,DUMMY_CRH_CON_ACT_230813_041225_STR_GYZ_REG,WESTERN AUSTRALIA - METRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62686.96644,201392.7883,model_summary_WESTERN AUSTRALIA - METRO_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
4,DUMMY_CRH_CON_ACT_261214_261214_SEA_GYZ_REG,3225.359448,1237.693965,2.605942615,0.010231113,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,DUMMY_CRH_CON_ACT_261214_261214_SEA_GYZ_REG,WESTERN AUSTRALIA - METRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1389.665441,261762.4306,model_summary_WESTERN AUSTRALIA - METRO_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
5,DUMMY_CRH_CON_ACT_261214_261214_SET_GYZ_REG,1013.960462,178.5179198,5.679880558,8.41E-08,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,DUMMY_CRH_CON_ACT_261214_261214_SET_GYZ_REG,WESTERN AUSTRALIA - METRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56002.51288,259857.5207,model_summary_WESTERN AUSTRALIA - METRO_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
6,ECO_MCR_XXX_XXX_XXX_XXX_NAT_XXX_EPP_POS_AUD,1.964187215,0.765316933,2.566501708,0.011406108,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,ECO_MCR_XXX_XXX_XXX_XXX_NAT_XXX_EPP_POS_AUD,WESTERN AUSTRALIA - METRO,Control,Macroeconomic,XXX,Unknown,XXX,XXX,NATIONAL,XXX,EARNINGS,POSITIVE,TOTAL EARNINGS,7915.90552,210242.5064,model_summary_WESTERN AUSTRALIA - METRO_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
7,LOC_BTL_OWN_XXX_GYZ_MES_101_PPD_CRM_EML_VOL,3.459155056,1.126741506,3.070052037,0.002606215,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,LOC_BTL_OWN_XXX_GYZ_MES_101_PPD_CRM_EML_VOL_80_80_2,WESTERN AUSTRALIA - METRO,LOC,BTL  ,XXXX,Unknown,GEN Y+GEN Z,MARKETING ENABLEMENT,TC_ALL_PRODUCTS_ALWAYS_ON_DM,POSTPAID HANDHELD,CONSUMER CRM - MOBILITY,Email,VOLUME,17776.02411,178036.3791,model_summary_WESTERN AUSTRALIA - METRO_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
8,LOC_BTL_OWN_XXX_GYZ_MES_O30_PPD_CRM_DML_VOL,1.160962372,1.155679786,1.004570978,0.316969668,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,LOC_BTL_OWN_XXX_GYZ_MES_O30_PPD_CRM_DML_VOL_80_80_3,WESTERN AUSTRALIA - METRO,LOC,BTL  ,XXXX,Unknown,GEN Y+GEN Z,MARKETING ENABLEMENT,TC_BELONG,POSTPAID HANDHELD,CONSUMER CRM - MOBILITY,Direct Mail,VOLUME,58095.40583,165321.0831,model_summary_WESTERN AUSTRALIA - METRO_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
9,LOC_RTL_OWN_XXX_XXX_RMC_G34_CLM_RIS_LLS_AUD,1.395423071,1.356585903,1.02862861,0.305564285,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,LOC_RTL_OWN_XXX_XXX_RMC_G34_CLM_RIS_LLS_AUD_10_80_2,WESTERN AUSTRALIA - METRO,LOC,Retail Marketing,XXXX,Unknown,UNKNOWN,RETAIL MARKETING - CONSUMER,FY14/15 CHANNEL MARKETING HUB TEMPLATES,CONSUMER LAM,Retail Channel Marketing,LAM LICENSEE SPEND ON HUB TEMPLATES,SPEND,27749.32583,158423.03,model_summary_WESTERN AUSTRALIA - METRO_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
10,LOC_TRA_TTL_XXX_XXX_LPS_N84_OTH_LVG_TVC_GRP,2.180879853,0.919681909,2.371341474,0.019191509,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,LOC_TRA_TTL_XXX_XXX_LPS_N84_OTH_LVG_TVC_GRP_80_30_1,WESTERN AUSTRALIA - METRO,LOC,Traditional Media,Total,Unknown,UNKNOWN,LOYALTY PARTNERSHIPS AND SPONSORSHIPS,NONE,OTHER,LEVERAGED,TV-FREE TO AIR,GRP/TARP,89882.28517,230779.7745,model_summary_WESTERN AUSTRALIA - METRO_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
11,LOC_TRA_TTL_XXX_XXX_RMC_Q97_PRE_CMB_TVC_GRP,1.434738596,1.180364597,1.215504599,0.22637649,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,LOC_TRA_TTL_XXX_XXX_RMC_Q97_PRE_CMB_TVC_GRP_80_30_1,WESTERN AUSTRALIA - METRO,LOC,Traditional Media,Total,Unknown,UNKNOWN,RETAIL MARKETING - CONSUMER,Q3 PREPAID BACK TO IT,PREPAID HANDHELD,CONSUMER - MOBILITY,TV-FREE TO AIR,GRP/TARP,57628.82694,48226.36565,model_summary_WESTERN AUSTRALIA - METRO_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
12,LOC_TRA_TTL_XXX_XXX_RMC_Q99_APD_CMF_TVC_GRP,1.462810571,0.984421599,1.485959444,0.139710974,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,LOC_TRA_TTL_XXX_XXX_RMC_Q99_APD_CMF_TVC_GRP_60_30_0,WESTERN AUSTRALIA - METRO,LOC,Traditional Media,Total,Unknown,UNKNOWN,RETAIL MARKETING - CONSUMER,LOYALTY,APPLE - DEVICES,CONSUMER - COMMITTED MARKETING FUNDS,TV-FREE TO AIR,GRP/TARP,11003.14725,27955.15434,model_summary_WESTERN AUSTRALIA - METRO_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
13,LOC_TRA_XXX_XXX_XXX_RMC_P28_PRE_CMB_ODR_AUD,2.328230614,1.188326638,1.959251388,0.052223447,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,LOC_TRA_XXX_XXX_XXX_RMC_P28_PRE_CMB_ODR_AUD_70_50_1,WESTERN AUSTRALIA - METRO,LOC,Traditional Media,XXX,Unknown,UNKNOWN,RETAIL MARKETING - CONSUMER,Q3 PRE PAID,PREPAID HANDHELD,CONSUMER - MOBILITY,OUTDOOR,SPEND,79719.12639,47797.51464,model_summary_WESTERN AUSTRALIA - METRO_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
14,NAT_DIG_XXX_XXX_XXX_DIG_M05_MOB_CDM_ADD_CLK,4.826030385,2.465162657,1.957692476,0.052408276,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,NAT_DIG_XXX_XXX_XXX_DIG_M05_MOB_CDM_ADD_CLK_60_80_0,WESTERN AUSTRALIA - METRO,NAT,Digital Media,XXX,Unknown,UNKNOWN,DIGITAL,FY15 Q2 PRE-PAID FREEDOM,MOBILITY,CONSUMER - DIGITAL MARKETING,DESKTOP DISPLAY,CLICKS,54900.19984,74014.56102,model_summary_WESTERN AUSTRALIA - METRO_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
15,NAT_DIG_XXX_XXX_XXX_DIG_MUL_MOB_CDM_MDS_CLK,1.529933229,1.441645219,1.061241149,0.290547919,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,NAT_DIG_XXX_XXX_XXX_DIG_MUL_MOB_CDM_MDS_CLK_10_80_0,WESTERN AUSTRALIA - METRO,NAT,Digital Media,XXX,Unknown,UNKNOWN,DIGITAL,MULTIPLE,MOBILITY,CONSUMER - DIGITAL MARKETING,MOBILE DISPLAY,CLICKS,12400.17068,245270.6883,model_summary_WESTERN AUSTRALIA - METRO_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
